User-ID,Location,Age
394,"lonodn, calabria, united kingdom",25.0
395,"madrid, n/a, spain",24.0
397,"almada, almada, portugal",50.0
399,"abuja, fct abuja, nigeria",41.0
401,"la plata, buenos aires, argentina",28.0
402,"manchester, england, united kingdom",19.0
404,"chicago, illinois, usa",37.0
406,"madrid, madrid, spain",37.0
408,"mountain view, california, usa",17.0
409,"almada, almada, portugal",50.0
410,"york, yorkshire, united kingdom",40.0
411,"defiance, ohio, usa",27.0
413,"naperville, illinois, usa",17.0
414,"portland, oregon, usa",34.0
416,"warrington, pennsylvania, usa",31.0
419,"grove city, pennsylvania, usa",14.0
420,"canberra, australian capital territory, australia",14.0
421,"sioux city, iowa, usa",47.0
422,"edmonton, alberta, canada",23.0
424,"portland, oregon, usa",29.0
425,"calgary, alberta, canada",32.0
429,"brockport, new york, usa",25.0
431,"ridgway, pennsylvania, usa",40.0
433,"smock, pennsylvania, usa",48.0
436,"ivanhoe, melbourne, victoria, australia",53.0
438,"rome, lazio, italy",34.0
440,"brookfield, wisconsin, usa",16.0
442,"london, n/a, united kingdom",24.0
443,"lawrenceburg, indiana, usa",47.0
444,"sweet home, oregon, usa",40.0
448,"batavia, new york, usa",22.0
450,"napoli, campania, italy",31.0
451,"bismarck, north dakota, usa",33.0
454,"norwich, norfolk, united kingdom",50.0
455,"calgary, alberta, canada",54.0
456,"norridgewock, maine, usa",31.0
457,"esher, england, united kingdom",62.0
458,"kenniwick, washington, usa",17.0
459,"east moline, illinois, usa",37.0
461,"singapore, n/a, singapore",15.0
462,"brookside, new jersey, usa",18.0
463,"rouse hill, new south wales, australia",20.0
464,"dahanu, maharashtra, india",24.0
469,"corona, california, usa",18.0
470,"indianapolis, indiana, usa",0.0
471,"melbourne, victoria, australia",31.0
473,"makati city, luzon, philippines",25.0
475,"vancouver, british columbia, canada",34.0
477,"charlottesville, virginia, usa",45.0
478,"albuquerque, new mexico, usa",13.0
480,"wanamassa, new jersey, usa",62.0
482,"valencia, california, usa",46.0
483,"shelton, washington, usa",72.0
484,"clarkston, michigan, usa",17.0
485,"las vegas, nevada, usa",51.0
486,"portland, oregon, usa",31.0
488,"boston, massachusetts, usa",25.0
491,"windsor, ontario, canada",26.0
492,"chicago, illinois, usa",60.0
493,"manhattan, kansas, usa",29.0
496,"west salem, wisconsin, usa",51.0
497,"susquehanna, pennsylvania, usa",51.0
498,"charleston, south carolina, usa",29.0
499,"la verne, california, usa",62.0
500,"san antonio, texas, usa",17.0
502,"dearborn, michigan, usa",47.0
503,"el centro, california, usa",40.0
504,"tularosa, new mexico, usa",29.0
505,"washington, dc, usa",51.0
508,"portland, oregon, usa",29.0
512,"winter springs, florida, usa",58.0
514,"bonney lake, washington, usa",30.0
515,"bourbonnais, illinois, usa",24.0
517,"grinnell, iowa, usa",22.0
519,"sheffield, england, united kingdom",23.0
523,"bozeman, montana, usa",19.0
524,"valentine, new south wales, australia",37.0
525,"issy les moulineaux, ile de france, france",29.0
526,"hamburg, hamburg, germany",35.0
527,"mainz, rheinland-pfalz, germany",22.0
528,"singapore, alabama, singapore",16.0
529,"new york, new york, usa",28.0
530,"moab, utah, usa",47.0
531,"st. augustine, florida, usa",56.0
532,"cordoba, argentina, argentina",53.0
533,"london, england, united kingdom",31.0
534,"rosharon, texas, usa",59.0
536,"hcm, hcm, vietnam",20.0
538,"perryville, missouri, usa",26.0
540,"watertown, south dakota, usa",67.0
541,"brooklyn, new york, usa",45.0
543,"hanoi, hanoi, vietnam",27.0
546,"firenze, toscana, italy",51.0
551,"kolkata, victoria, india",19.0
553,"nykøbing sjælland, n/a, denmark",16.0
555,"teramo, abruzzo, italy",36.0
556,"port charlotte, florida, usa",31.0
557,"oceanside, colorado, usa",49.0
561,"shrewsbury, pennsylvania, usa",35.0
562,"adfdaf, australian capital territory, albania",0.0
564,"franksville, wisconsin, usa",15.0
565,"franklin, tennessee, usa",48.0
569,"lahore, punjab, pakistan",28.0
571,"diemen, n/a, netherlands",23.0
572,"gabes, gabes, tunisia",23.0
573,"cairo, connecticut, egypt",31.0
574,"terrassa, catalunya, spain",33.0
575,"gaia, douro litoral, portugal",23.0
576,"bern, prince edward island, switzerland",35.0
579,"tiruchirapalli, n/a, india",29.0
580,"logroño, la rioja, spain",22.0
581,"zaragoza, aragón, spain",45.0
582,"adelaide, south australia, australia",56.0
583,"tashkent, uzbekistan, uzbekistan",19.0
584,"doha, doha, qatar",23.0
586,"kuala-lumpur, selangor, malaysia",26.0
588,"roseville, minnesota, usa",60.0
591,"miami beach, florida, usa",42.0
593,"port hawkesbury, nova scotia, canada",28.0
595,"hollywood, florida, usa",17.0
596,"san francisco, california, usa",49.0
597,"astoria, new york, usa",43.0
598,"raqqa, raqqa, syria",34.0
599,"north plainfield, new jersey, usa",36.0
600,"tehran, tehran, iran",20.0
602,"forest grove, oregon, usa",23.0
604,"knox, indiana, usa",42.0
607,"beijing, beijing, china",31.0
608,"somerville, massachusetts, usa",30.0
609,"madrid, madrid, spain",34.0
610,"valencia, n/a, spain",19.0
611,"solbiate, lombardia, italy",24.0
612,"oak park, illinois, usa",20.0
613,"ankara, n/a, turkey",1.0
614,"montecassiano, marche, italy",28.0
615,"parede, lisboa, portugal",29.0
616,"fremont, california, usa",34.0
617,"porto, n/a, portugal",54.0
620,"toronto, ontario, canada",45.0
621,"segovia, n/a, spain",48.0
622,"salvador, bahia, brazil",23.0
625,"marseille, provence, france",41.0
626,"graz, steiermark, austria",41.0
629,"kiel, schleswig-holstein, germany",44.0
630,"paris, n/a, france",33.0
632,"rochester, minnesota, usa",15.0
634,"düsseldorf, nordrhein-westfalen, germany",50.0
635,"toronto, ontario, canada",24.0
637,"singapore, singapore, singapore",20.0
638,"san diego, california, usa",20.0
642,"houston, texas, usa",37.0
643,"grenoble, rhone-alpes, france",23.0
646,"cardiff, wales, united kingdom",21.0
647,"perth, western australia, australia",35.0
651,"interlachen, florida, usa",26.0
654,"ottawa, ontario, canada",30.0
655,"monroe, north carolina, usa",58.0
658,"jasper, georgia, usa",61.0
661,"zweibrücken, rheinland-pfalz, germany",22.0
662,"high prairie, alberta, canada",21.0
663,"vigo, galicia, spain",49.0
664,"alicante, alicante, spain",26.0
668,"nasik, maharashtra, india",27.0
669,"kannur, kerala, india",24.0
671,"jeddah, jeddah, saudi arabia",1.0
673,"varanasi, uttar pradesh, india",23.0
676,"london, abruzzo, italy",31.0
677,"baton rouge, louisiana, usa",27.0
679,"oregon city, oregon, usa",65.0
680,"edgewood, maryland, usa",28.0
681,"banda aceh, nad, indonesia",20.0
682,"smyrna, georgia, usa",44.0
683,"union, illinois, usa",28.0
684,"atlanta, georgia, usa",44.0
685,"stevens point, wisconsin, usa",21.0
687,"montemor-o-novo, alberta, romania",35.0
688,"beacon hill, new south wales, australia",14.0
689,"paris, n/a, france",22.0
690,"lake oswego, oregon, usa",80.0
691,"london, greater london, united kingdom",25.0
692,"ottawa, kansas, usa",44.0
693,"alexandria, virginia, usa",58.0
696,"windsor, ontario, canada",13.0
700,"georgetown, n/a, malaysia",16.0
701,"mountain view, california, usa",31.0
702,"mount joy, pennsylvania, usa",53.0
703,"pascagoula, mississippi, usa",52.0
709,"roanoke, virginia, usa",14.0
710,"piracicaba, são paulo, brazil",42.0
711,"oxford, england, united kingdom",27.0
712,"pratteln, baselland, switzerland",29.0
713,"abingdon, n/a, united kingdom",49.0
716,"mexico, df, mexico",34.0
718,"lanham, maryland, usa",30.0
719,"mississauga, ontario, canada",52.0
720,"washington dc, dc, usa",16.0
722,"longwood, florida, usa",66.0
725,"aveiro, aveiro, portugal",24.0
726,"eatontown, new jersey, usa",31.0
727,"lisboa, n/a, portugal",40.0
730,"albuquerque, new mexico,",69.0
733,"timaru, south canterbury, new zealand",53.0
735,"cortland, new york, usa",29.0
736,"trebur, hessen, germany",34.0
739,"oakdale, minnesota, usa",55.0
741,"novinger, missouri, usa",16.0
744,"ocala, florida, usa",48.0
745,"frankfurt, hessen, germany",25.0
746,"longmont, colorado, usa",36.0
748,"ourense, ourense, spain",14.0
750,"zurich, zurich, switzerland",36.0
751,"zaragoza, aragon, spain",41.0
754,"leverkusen, nordrhein-westfalen, germany",33.0
755,"guangzhou, asd, china",24.0
757,"philadelphia, pennsylvania, usa",29.0
761,"fuzhou, fujian, china",30.0
762,"lisbon, n/a, portugal",23.0
764,"eau claire, wisconsin, usa",28.0
766,"matthews, north carolina, usa",52.0
767,"omaha, nebr,",43.0
771,"ft. sill, oklahoma, usa",38.0
772,"braga, braga, portugal",27.0
773,"khartoum, khartoum, sudan",52.0
774,"wentzville, missouri, usa",16.0
775,"jeddah, jeddah, saudi arabia",28.0
776,"auckland, n/a, new zealand",23.0
777,"portland, ,",13.0
781,"london, england, united kingdom",20.0
782,"hallandale, florida, usa",57.0
784,"franklin, massachusetts, usa",39.0
786,"panhandle, texas, usa",48.0
789,"pepperell, ,",15.0
792,"fishkill, new york, usa",44.0
794,"chico, california, usa",47.0
801,"mooresville, north carolina, usa",51.0
802,"san fernando, buenos aires, argentina",33.0
803,"santa cruz de la palma, santa cruz  de tenerife.-canarias, spain",41.0
804,"washington ch, ohio, usa",38.0
805,"sonoma, california, usa",34.0
807,"heidelberg, baden-wuerttemberg, germany",32.0
809,"commack, new york, usa",36.0
811,"zurich, n/a, switzerland",34.0
812,"calgary, alberta, canada",17.0
813,"woodstock, illinois, usa",42.0
815,"davis bay, sechelt, british columbia, canada",43.0
816,"napoli, campania, italy",32.0
817,"austin, texas, usa",41.0
820,"florida, florida, usa",38.0
821,"vicenza, veneto, italy",33.0
822,"chesterfield, england, united kingdom",25.0
823,"albuquerque, new mexico, usa",36.0
824,"albuquerque, new mexico, usa",15.0
825,"albuquerque, new mexico, usa",38.0
826,"albuquerque, new mexico, usa",65.0
828,"albuquerque, new mexico, usa",35.0
829,"palo alto, california, usa",23.0
830,"south amboy, new jersey, usa",57.0
831,"santander, cantabria, spain",21.0
834,"rockville, maryland, usa",17.0
835,"collegno, piemonte, italy",35.0
837,"lexington, kentucky, usa",26.0
838,"knoxville, tennessee, usa",71.0
839,"port harcourt, rivers, nigeria",40.0
840,"santa coloma de gramenet, barcelona, spain",21.0
841,"saint charles, mo, missouri, usa",24.0
842,"wuppertal, northwest territories, germany",42.0
843,"deer lodge, tennessee, usa",25.0
845,"bari, puglia, italy",25.0
846,"waco, texas, usa",55.0
847,"pamplona, navarra, spain",23.0
850,"bremen, bremen, germany",22.0
852,"barcelona, n/a, spain",27.0
853,"chesterfield, michigan, usa",24.0
854,"malang, indonesia,",22.0
855,"hamburg, hamburg, germany",54.0
856,"madrid, madrid, spain",29.0
857,"kuala lumpur, n/a, malaysia",25.0
858,"orlando, florida, usa",46.0
860,"bristol, england, united kingdom",26.0
862,"olympia, washington, usa",56.0
863,"space, space, somewherein space",73.0
866,"barcelona, barcelona, spain",23.0
867,"barcelona, barcelona, spain",27.0
868,"getxo, vizcaya, spain",27.0
869,"bucharest, bucharest, romania",30.0
870,"trieste, friuli venezia giulia, italy",19.0
871,"chicago, illinois, usa",19.0
872,"bristol, england, united kingdom",22.0
875,"lynchburg, virginia, usa",32.0
876,"hanover, massachusetts, usa",33.0
881,"saskatoon, saskatchewan, canada",24.0
882,"berkeley, california, usa",23.0
883,"brookfield, connecticut, usa",43.0
887,"castaic, california, usa",30.0
889,"manchester, england, united kingdom",46.0
893,"firenze, toscana, italy",19.0
894,"townsville, queensland, australia",22.0
895,"geelong, victoria, australia",40.0
896,"-, wales, united kingdom",27.0
897,"coffs harbour, new south wales, australia",14.0
899,"bielefeld, nordrhein-westfalen, germany",23.0
900,"scranton, pennsylvania, usa",25.0
901,"worcester, worcestershire, united kingdom",21.0
902,"overland, missouri, usa",18.0
903,"los angeles, california, usa",19.0
907,"everett, washington, usa",31.0
909,"poitiers, vienne, france",19.0
910,"chandler, arizona, usa",25.0
911,"stoneham, massachusetts, usa",40.0
912,"alexandria, virginia, usa",33.0
913,"manchester, lancs, united kingdom",44.0
914,"griesheim, hessen, germany",51.0
915,"humble, texas, usa",50.0
916,"brisbane, queensland, australia",38.0
918,"cartwright, newfoundland and labrador, canada",52.0
919,"madrid, madrid, spain",65.0
920,"islip, new york, usa",28.0
922,"salt spring island, british columbia, canada",20.0
923,"miami, florida, usa",21.0
924,"grenoble, isere, france",29.0
926,"lisboa, n/a, portugal",29.0
927,"thonburi, bangkok, thailand",16.0
928,"sunbury, victoria, australia",60.0
929,"king of prussia, ,",36.0
930,"cos cob, connecticut, usa",30.0
931,"san francisco, california, usa",43.0
932,"san francisco, california, usa",1.0
933,"crewe, england, united kingdom",29.0
935,"cebu city, cebu, philippines",21.0
936,"socorro, new mexico, usa",24.0
937,"le houlme, normandie, france",31.0
938,"calgary, alberta, canada",55.0
939,"manila city, national capital region, philippines",21.0
942,"lille, nord, france",29.0
943,"barcelona, catalunya, spain",24.0
944,"toronto, ontario, canada",26.0
945,"salerno, campania, italy",23.0
946,"lancaster, lancashire, united kingdom",23.0
953,"prato, toscana, italy",22.0
958,"lindale, texas, usa",78.0
965,"las cruces, new mexico, usa",24.0
966,"dublin, leinster, ireland",22.0
967,"belem, para, brazil",31.0
968,"vigo, galicia, spain",25.0
969,"river forest, illinois, usa",13.0
970,"sydney, new south wales, australia",15.0
971,"accra, n/a, ghana",22.0
974,"waterford, ,",36.0
975,"ann arbor, michigan, usa",34.0
976,"melbourne, victoria, australia",28.0
978,"alpharetta, georgia, usa",33.0
979,"northampton, east midlands, united kingdom",36.0
980,"gijón, asturias, spain",23.0
982,"sheffield, alabama, usa",41.0
985,"vigo, galicia, spain",23.0
989,"san antonio, texas, usa",33.0
991,"charlotte, north carolina, usa",62.0
992,"sydney, nsw, australia",33.0
995,"christchurch, canterbury, new zealand",34.0
999,"newark, delaware, usa",21.0
1000,"teramo, abruzzo, italy",34.0
1001,"campbelltown, new south wales, australia",19.0
1002,"vilafranca, barcelona, spain",25.0
1005,"new york, new york, usa",67.0
1006,"austin, texas, usa",59.0
1007,"schaumburg, illinois, usa",16.0
1009,"delano, minnesota, usa",56.0
1010,"silver spring, maryland, usa",26.0
1011,"vancouver, british columbia, canada",52.0
1013,"philadelphia, pennsylvania, usa",23.0
1015,"dartmouth, nova scotia, canada",18.0
1017,"lüneburg, niedersachsen, germany",35.0
1025,"maidstone, england, united kingdom",33.0
1027,"roma, liguria, italy",18.0
1028,"acapulco, guerrero, mexico",57.0
1029,"haverhill, massachusetts, usa",57.0
1030,"memphis, tennessee, usa",29.0
1031,"sparks, maryland, usa",52.0
1034,"são paulo, são paulo, brazil",18.0
1035,"sycamore, illinois, usa",26.0
1036,"whitman, massachusetts, usa",25.0
1037,"rising star, texas, usa",18.0
1038,"dallas, texas, usa",26.0
1039,"canton, pennsylvania, usa",38.0
1042,"queensbury, new york, usa",40.0
1044,"council bluffs, iowa, usa",34.0
1045,"alvin, texas, usa",47.0
1048,"oakville, ontario, canada",22.0
1049,"dublin, dublin, ireland",34.0
1051,"beijing, beijing, china",17.0
1052,"tarcento, friuli venezia giulia, italy",31.0
1053,"e. lansing, michigan, usa",20.0
1054,"burnsville, minnesota, usa",37.0
1055,"winterthur, zürich, switzerland",30.0
1056,"santa cruz de tenerife, canarias, spain",35.0
1057,"norwich, norfolk, united kingdom",19.0
1058,"paris, n/a, france",23.0
1059,"snoqualmie, washington, usa",47.0
1060,"lincoln, nebraska, usa",38.0
1062,"hibiscus coast, auckland, new zealand",16.0
1063,"edmonton, alberta, canada",19.0
1064,"worthing, west sussex, united kingdom",45.0
1066,"chicopee, massachusetts, usa",59.0
1067,"west allis, wisconsin, usa",37.0
1068,"north bay, ontario, canada",18.0
1071,"braga, n/a, portugal",22.0
1072,"nîmes, languedoc-roussillon, france",47.0
1073,"terni, italy, italy",31.0
1075,"hurst, texas, usa",49.0
1076,"blacksburg, virginia, usa",20.0
1078,"granada, granada, spain",28.0
1080,"caballo, new mexico, usa",35.0
1081,"san fernando, cádiz, spain",31.0
1082,"rochester, washington, usa",36.0
1087,"birmingham, alabama, usa",46.0
1088,"raymond, washington, usa",17.0
1089,"perry, florida, usa",22.0
1090,"worthington, ohio, usa",49.0
1091,"torralba de calatrava, ciudad real, spain",25.0
1094,"largo, florida, usa",18.0
1096,"arvada, colorado, usa",18.0
1099,"albuquerque, new mexico, usa",32.0
1100,"saskatoon, saskatchewan, canada",24.0
1102,"madrid, madrid, spain",28.0
1104,"kuala lumpur, selangor, malaysia",38.0
1105,"bethlehem, pennsylvania, usa",57.0
1106,"detmold, nordrhein-westfalen, germany",41.0
1109,"joliet, illinois, usa",18.0
1110,"dublin, county dublin, ireland",31.0
1113,"richmond, missouri, usa",22.0
1114,"napier, n/a, new zealand",59.0
1116,"calgary, alberta, canada",29.0
1117,"smyrna, georgia, usa",61.0
1122,"denison, texas, usa",21.0
1123,"lasalle, quebec, canada",23.0
1125,"bothell, washington, usa",18.0
1126,"barcelona, barcelona, spain",22.0
1128,"dallas, texas, usa",61.0
1129,"bothell, washington, usa",53.0
1130,"manhattan, maryland, venezuela",26.0
1131,"berkeley, ,",22.0
1133,"kingswood, south australia, australia",46.0
1136,"santa cruz de tenerife, canarias, spain",21.0
1137,"zaragoza, schleswig-holstein, spain",25.0
1139,"valladolid, españa, spain",33.0
1140,"bridgewater, new jersey, usa",19.0
1141,"santiago, n/a, chile",26.0
1142,"vienna, vienna, austria",25.0
1143,"aylesbury, buckinghamshire, united kingdom",45.0
1144,"barcelona, barcelona, spain",21.0
1146,"rathdrum, idaho, usa",55.0
1148,"prairie village, kansas, usa",79.0
1149,"orlando, florida, usa",1.0
1150,"jericho, vermont, usa",25.0
1151,"london, england, united kingdom",22.0
1153,"esplugues de llobregat, n/a, spain",26.0
1155,"smyrna, georgia, usa",22.0
1157,"milano, lombardia, italy",34.0
1159,"noia, galiza, spain",25.0
1160,"peterborough, ontario, canada",18.0
1162,"madriz, madriz, spain",31.0
1163,"pamplona, navarra, spain",32.0
1164,"woburn, massachusetts, usa",35.0
1166,"nantes, loire-atlantique, france",22.0
1167,"milwaukee, wisconsin, usa",25.0
1168,"bergisch gladbach ( bensberg), nordrhein-westfalen, germany",20.0
1169,"olympia, washington, usa",27.0
1170,"wauwatosa, wisconsin, usa",17.0
1171,"norcross, georgia, usa",32.0
1172,"bielefeld, nordrhein-westfalen, germany",26.0
1173,"los angeles, california, usa",22.0
1174,"oviedo, asturias, spain",32.0
1175,"milan, lombardia, italy",27.0
1176,"selma, alabama, usa",29.0
1178,"heidelberg, baden-wuerttemberg, germany",9.0
1179,"lisboa, lisboa, portugal",28.0
1180,"storrs, connecticut, usa",23.0
1181,"quelimane, zambezia, mozambique",38.0
1182,"bandung, n/a, indonesia",23.0
1183,"venice, veneto, italy",49.0
1184,"la mirada, california, usa",38.0
1186,"melbourne, victoria, australia",24.0
1187,"newcastle, new south wales, australia",23.0
1188,"montclair, new jersey, usa",29.0
1189,"nürnberg, bayern, germany",39.0
1190,"barcelona, barcelona, spain",24.0
1191,"ogden, utah, usa",34.0
